shortTerm,longTerm,totalReturns,totalTrades,recommendedDifference
21,115,0.064864357465701,87,0.035
28,140,0.064831957439984,16,0.009
29,138,0.064831957439984,16,0.009
29,139,0.064831957439984,15,0.009
20,124,0.064616026993801,75,0.035
20,125,0.064616026993801,70,0.034
27,140,0.064569479674376,59,0.034
28,82,0.064500177017273,28,0.004
21,114,0.064352816451625,83,0.034
26,82,0.064281897442341,35,0.005
27,81,0.064281897442341,36,0.005
21,140,0.064266422949486,59,0.035
21,121,0.064211497210696,82,0.035
23,145,0.063929034109582,19,0.012
23,146,0.063929034109582,20,0.012
24,142,0.063929034109582,20,0.013
24,143,0.063929034109582,19,0.012
26,140,0.063835435865598,59,0.034
22,118,0.063730436206011,83,0.035
23,118,0.063730436206011,85,0.035
21,148,0.063428735236831,22,0.015
21,149,0.063428735236831,22,0.014
20,126,0.06335860871837,75,0.035
21,123,0.06335860871837,80,0.035
21,124,0.06335860871837,77,0.035
20,120,0.063230200962435,77,0.034
22,113,0.063190055426869,89,0.035
23,111,0.063190055426869,92,0.035
23,112,0.063190055426869,91,0.035
23,113,0.063190055426869,90,0.035
24,76,0.063140993340942,8,0.001
23,142,0.063027814555644,54,0.034
23,143,0.062985044606295,22,0.014
23,144,0.062985044606295,22,0.015
24,141,0.062985044606295,22,0.014
25,110,0.062829597240868,96,0.035
20,122,0.06270707173595,77,0.034
22,114,0.06264870625546,87,0.035
24,72,0.062565427798817,8,0.001
24,137,0.062444172672631,62,0.034
24,138,0.062444172672631,62,0.035
25,135,0.062444172672631,64,0.034
25,136,0.062444172672631,63,0.034
21,125,0.062439572226494,76,0.035
22,123,0.062439572226494,80,0.035
